Invoice ID,City,StoreName,Gender,Categories,Cost Price / unit,Quantity,Total Cost,Date,Payment,Gross margin percentage,Gross income,Rating,Demand,Supply,Profit in %,sales
15,Chennai,Shree Ganesh Provisions,Female,Health and beauty,71.38,10,713.8,25-12-2022,Cash,15%,35.69,5.7,70.70676926,11.45211756,678.11,5554.14918
16,Ahemdabad,HealthyHub Grocery ,Female,Sports and travel,93.72,6,562.32,06-01-2020,Cash,15%,28.116,4.5,43.1883084,16.08200787,534.204,3566.25593
17,Hyderabad,Bharat Bazaar,Female,Health and beauty,68.93,7,482.51,07-10-2020,Credit card,15%,24.1255,4.6,7.790906413,48.38439976,458.3845,2694.26105
18,Kanpur,Sapna Supermarket,Male,Sports and travel,72.61,6,435.66,09-09-2021,Credit card,15%,21.783,6.9,17.88638823,0.797896737,413.877,2238.75654
19,Surat,FreshBasket Grocery Store,Male,Food and beverages,54.67,3,164.01,19-11-2021,Credit card,15%,8.2005,8.6,86.51369267,36.74853831,155.8095,419.55316
20,Pune,Sundar Sweets and Groceries,Female,Home and lifestyle,40.3,2,80.6,17-09-2020,Ewallet,15%,4.03,4.4,41.17614359,33.82425773,76.57,142.31542
21,Mumbai,Green Mart Groceries,Male,Electronic accessories,86.04,5,430.2,09-09-2022,Ewallet,15%,21.51,4.8,25.37918475,28.71718554,408.69,2188.38438
22,Delhi,Indian Spice Bazaar,Male,Health and beauty,87.98,3,263.94,01-12-2020,Ewallet,15%,13.197,5.1,42.3427641,32.43918181,250.743,925.75107
23,Bangalore,EcoFresh Grocery Haven,Male,Home and lifestyle,33.2,2,66.4,18-04-2021,Credit card,15%,3.32,4.4,56.80793277,3.791476049,63.08,108.28512
24,Kolkata,Golden Harvest Provisions,Male,Electronic accessories,34.56,5,172.8,05-05-2022,Ewallet,15%,8.64,9.9,38.56531323,1.741250678,164.16,456.46848
25,Chennai,Sarvodaya Supermart,Male,Sports and travel,88.63,3,265.89,16-03-2022,Ewallet,15%,13.2945,6,24.42054912,47.38277654,252.5955,937.51618
26,Ahemdabad,Nirvana Grocer's Paradise,Female,Home and lifestyle,52.59,8,420.72,18-01-2022,Credit card,15%,21.036,8.5,96.5633083,34.06851941,399.684,2102.27053
27,Hyderabad,TastyBite Provision Store,Male,Fashion accessories,33.52,1,33.52,13-08-2022,Cash,15%,1.676,6.7,47.77856649,22.80113941,31.844,44.19411
28,Kanpur,Nature's Bounty Mart,Female,Fashion accessories,87.67,2,175.34,30-08-2022,Credit card,15%,8.767,7.7,13.24725484,29.63345824,166.573,467.40910
29,Surat,MangoTree Grocery Express,Female,Food and beverages,88.36,5,441.8,07-03-2022,Cash,15%,22.09,9.6,73.57363091,2.820944841,419.71,2296.07878
30,Pune,Deshi Dukan Groceries,Male,Health and beauty,24.89,9,224.01,23-01-2021,Cash,15%,11.2005,7.4,33.0204185,44.13453029,212.8095,700.72456
31,Mumbai,Urban Essentials Superstore,Male,Fashion accessories,94.13,5,470.65,12-08-2022,Credit card,15%,23.5325,4.8,95.6348492,14.16232962,447.1175,2575.00851
32,Delhi,Krishi Kendra Grocers,Male,Sports and travel,78.07,9,702.63,01-06-2021,Cash,15%,35.1315,4.5,82.58019195,12.69196396,667.4985,5392.67471
33,Bangalore,SpiceRoots Grocery House,Male,Sports and travel,83.78,8,670.24,25-02-2020,Cash,15%,33.512,5.1,17.0982042,26.3676555,636.728,4937.84575
34,Kolkata,Farmers' Delight Emporium,Male,Health and beauty,96.58,2,193.16,25-03-2021,Credit card,15%,9.658,5.1,17.01355636,26.78327783,183.502,547.61246
35,Chennai,Shree Ganesh Provisions,Female,Food and beverages,99.42,4,397.68,10-06-2020,Ewallet,15%,19.884,7.5,15.55040772,20.39371113,377.796,1900.09913
36,Ahemdabad,HealthyHub Grocery ,Female,Sports and travel,68.12,1,68.12,07-04-2021,Ewallet,15%,3.406,6.8,49.20616912,35.57383523,64.714,112.20318
37,Hyderabad,Bharat Bazaar,Male,Sports and travel,62.62,5,313.1,24-02-2021,Ewallet,15%,15.655,7,40.19517608,13.87574404,297.445,1244.40030
38,Kanpur,Sapna Supermarket,Female,Electronic accessories,60.88,9,547.92,12-01-2022,Ewallet,15%,27.396,4.7,64.3220356,32.08657995,520.524,3399.97510
39,Surat,FreshBasket Grocery Store,Female,Health and beauty,54.92,8,439.36,22-07-2021,Ewallet,15%,21.968,7.6,77.55240962,28.34562632,417.392,2273.21349
40,Pune,Sundar Sweets and Groceries,Male,Home and lifestyle,30.12,8,240.96,23-02-2020,Cash,15%,12.048,7.7,91.9581452,13.94131567,228.912,792.54636
41,Mumbai,Green Mart Groceries,Female,Home and lifestyle,86.72,1,86.72,12-12-2021,Ewallet,15%,4.336,7.9,57.32258669,4.42128363,82.384,158.16340
42,Delhi,Indian Spice Bazaar,Male,Home and lifestyle,56.11,2,112.22,19-03-2021,Cash,15%,5.611,6.3,70.83589218,44.12637873,106.609,231.85662
43,Bangalore,EcoFresh Grocery Haven,Female,Sports and travel,69.12,6,414.72,07-04-2022,Cash,15%,20.736,5.6,95.71772545,35.70041263,393.984,2048.65045
44,Kolkata,Golden Harvest Provisions,Female,Food and beverages,98.7,8,789.6,17-09-2021,Cash,15%,39.48,7.6,23.16574535,26.55640106,750.12,6712.54752
45,Chennai,Sarvodaya Supermart,Male,Health and beauty,15.37,2,30.74,16-09-2020,Cash,15%,1.537,7.2,33.15515681,4.50341213,29.203,39.71700
46,Ahemdabad,Nirvana Grocer's Paradise,Female,Electronic accessories,93.96,4,375.84,25-06-2022,Cash,15%,18.792,9.5,21.97381175,47.34586068,357.048,1717.76920
47,Hyderabad,TastyBite Provision Store,Male,Health and beauty,56.69,9,510.21,29-07-2020,Credit card,15%,25.5105,8.4,34.36943742,2.517924689,484.6995,2983.19532
48,Kanpur,Nature's Bounty Mart,Female,Food and beverages,20.1,9,180.9,27-10-2020,Ewallet,15%,9.0045,4.1,2.168669175,1.153198986,171.8955,491.85896
49,Surat,MangoTree Grocery Express,Male,Electronic accessories,18.93,6,113.58,11-07-2020,Credit card,15%,5.679,8.1,16.47714292,23.82427153,107.901,236.13396
50,Pune,Deshi Dukan Groceries,Female,Fashion accessories,82.63,10,826.3,19-10-2022,Ewallet,15%,41.315,7.9,72.34255487,12.96717478,784.985,7312.63106
51,Mumbai,Urban Essentials Superstore,Male,Food and beverages,91.4,7,639.8,16-12-2021,Cash,15%,31.99,9.5,78.48071895,3.725069055,607.81,4528.56838
52,Delhi,Krishi Kendra Grocers,Female,Food and beverages,44.59,5,222.95,09-09-2020,Cash,15%,11.1475,8.5,87.15593292,25.08798768,211.8025,695.16367
53,Bangalore,SpiceRoots Grocery House,Female,Fashion accessories,17.87,4,71.48,24-11-2022,Ewallet,15%,3.574,6.5,45.05036688,24.87388794,67.906,120.01921
54,Kolkata,Farmers' Delight Emporium,Male,Fashion accessories,15.43,1,15.43,22-06-2021,Credit card,15%,0.7715,6.1,83.778837,1.629093038,14.6585,17.69181
55,Chennai,Shree Ganesh Provisions,Male,Home and lifestyle,16.16,2,32.32,28-05-2022,Ewallet,15%,1.616,6.5,12.43431585,28.28205167,30.704,42.24353
56,Ahemdabad,HealthyHub Grocery ,Female,Electronic accessories,85.98,8,687.84,28-12-2021,Cash,15%,34.392,8.2,40.19189408,24.10171737,653.448,5182.51672
57,Hyderabad,Bharat Bazaar,Male,Home and lifestyle,44.34,2,88.68,20-08-2020,Cash,15%,4.434,5.8,69.85733233,7.310300618,84.246,163.38935
58,Kanpur,Sapna Supermarket,Male,Health and beauty,89.6,8,716.8,27-11-2020,Ewallet,15%,35.84,6.6,84.63764952,25.22490205,680.96,5597.92128
59,Surat,FreshBasket Grocery Store,Female,Home and lifestyle,72.35,10,723.5,11-08-2020,Cash,15%,36.175,5.4,7.062269541,47.85432624,687.325,5696.29638
60,Pune,Sundar Sweets and Groceries,Male,Electronic accessories,30.61,6,183.66,26-01-2021,Cash,15%,9.183,9.3,94.62475669,9.686585971,174.477,504.10446
61,Mumbai,Green Mart Groceries,Female,Sports and travel,24.74,3,74.22,04-03-2021,Credit card,15%,3.711,10,41.67009065,13.44238336,70.509,126.55178
62,Delhi,Indian Spice Bazaar,Male,Home and lifestyle,55.73,6,334.38,07-06-2020,Ewallet,15%,16.719,7,24.45459225,15.88978507,317.661,1396.57485
63,Bangalore,EcoFresh Grocery Haven,Female,Sports and travel,55.07,9,495.63,07-05-2022,Ewallet,15%,24.7815,10,59.96105235,31.09918588,470.8485,2829.29642
64,Kolkata,Golden Harvest Provisions,Male,Sports and travel,15.81,10,158.1,05-08-2021,Credit card,15%,7.905,8.6,14.40230504,22.34172775,150.195,395.55830
65,Chennai,Sarvodaya Supermart,Male,Health and beauty,75.74,4,302.96,15-10-2020,Cash,15%,15.148,7.6,52.74864939,2.179697321,287.812,1174.91524
66,Ahemdabad,Nirvana Grocer's Paradise,Male,Health and beauty,15.87,10,158.7,09-04-2020,Cash,15%,7.935,5.8,85.13329901,13.62814465,150.765,397.96406
67,Hyderabad,TastyBite Provision Store,Female,Health and beauty,33.47,2,66.94,07-03-2021,Ewallet,15%,3.347,6.7,43.3688444,10.04759334,63.593,109.50915
68,Kanpur,Nature's Bounty Mart,Female,Fashion accessories,97.61,6,585.66,29-09-2021,Ewallet,15%,29.283,9.9,13.85914989,33.26431086,556.377,3844.13754
69,Surat,MangoTree Grocery Express,Male,Sports and travel,78.77,10,787.7,26-01-2021,Cash,15%,39.385,6.4,85.57477767,46.10022994,748.315,6682.17726
70,Pune,Deshi Dukan Groceries,Female,Health and beauty,18.33,1,18.33,13-06-2021,Cash,15%,0.9165,4.3,53.12123432,44.75903102,17.4135,21.52189
71,Mumbai,Urban Essentials Superstore,Male,Food and beverages,89.48,10,894.8,15-01-2021,Credit card,15%,44.74,9.6,67.92995363,28.14523449,850.06,8501.13688
72,Delhi,Krishi Kendra Grocers,Male,Fashion accessories,62.12,10,621.2,24-08-2020,Cash,15%,31.06,5.9,20.60773419,2.098863725,590.14,4287.14968
73,Bangalore,SpiceRoots Grocery House,Female,Food and beverages,48.52,3,145.56,03-01-2021,Ewallet,15%,7.278,4,40.80411148,16.72549349,138.282,346.84328
74,Kolkata,Farmers' Delight Emporium,Female,Electronic accessories,75.91,6,455.46,24-02-2021,Cash,15%,22.773,8.7,68.10314983,11.54665725,432.687,2426.17621
75,Chennai,Shree Ganesh Provisions,Male,Home and lifestyle,74.67,9,672.03,11-09-2022,Ewallet,15%,33.615,9.4,67.39126163,47.040513,638.415,4962.37033
76,Ahemdabad,HealthyHub Grocery ,Female,Electronic accessories,41.65,10,416.5,20-02-2021,Credit card,15%,20.825,5.4,90.5696249,26.87609061,395.675,2064.48638
77,Hyderabad,Bharat Bazaar,Male,Fashion accessories,49.04,9,441.36,13-04-2021,Credit card,15%,22.068,8.6,71.19799788,4.898003248,419.292,2291.94717
78,Kanpur,Sapna Supermarket,Female,Fashion accessories,20.1,9,180.9,11-06-2021,Credit card,15%,9.0045,5.7,25.2874802,25.15917053,171.8955,491.85896
79,Surat,FreshBasket Grocery Store,Female,Food and beverages,78.31,10,783.1,14-09-2020,Ewallet,15%,39.155,6.6,22.71320025,17.26334029,743.945,6608.93330
80,Pune,Sundar Sweets and Groceries,Female,Health and beauty,20.38,5,101.9,28-10-2020,Cash,15%,5.095,6,0.336029549,25.63952426,96.805,200.54430
81,Mumbai,Green Mart Groceries,Female,Health and beauty,99.19,6,595.14,30-10-2020,Credit card,15%,29.757,5.5,67.11302609,8.505378547,565.383,3959.96039
82,Delhi,Indian Spice Bazaar,Female,Food and beverages,96.68,3,290.04,13-01-2022,Ewallet,15%,14.502,6.4,26.91789665,44.9370111,275.538,1089.21042
83,Bangalore,EcoFresh Grocery Haven,Male,Food and beverages,19.25,8,154,03-11-2022,Ewallet,15%,7.7,6.6,96.12305814,42.72770201,146.3,379.30200
84,Kolkata,Golden Harvest Provisions,Female,Food and beverages,80.36,4,321.44,16-11-2022,Credit card,15%,16.072,8.3,82.87827259,3.544666511,305.368,1303.01490
85,Chennai,Sarvodaya Supermart,Male,Sports and travel,48.91,5,244.55,24-08-2021,Cash,15%,12.2275,6.6,19.01952218,6.089316527,232.3225,812.69467
86,Ahemdabad,Nirvana Grocer's Paradise,Female,Sports and travel,83.06,7,581.42,17-04-2020,Ewallet,15%,29.071,4,48.43998484,14.96352231,552.349,3792.88756
87,Hyderabad,TastyBite Provision Store,Male,Fashion accessories,76.52,5,382.6,30-01-2020,Cash,15%,19.13,9.9,84.9967963,8.642466731,363.47,1773.23622
88,Kanpur,Nature's Bounty Mart,Male,Food and beverages,49.38,7,345.66,17-02-2020,Credit card,15%,17.283,7.3,12.76088258,3.330486943,328.377,1480.72794
89,Surat,MangoTree Grocery Express,Male,Sports and travel,42.47,1,42.47,13-12-2021,Cash,15%,2.1235,5.7,37.66971394,44.7671955,40.3465,59.60516
90,Pune,Deshi Dukan Groceries,Female,Health and beauty,76.99,6,461.94,25-10-2022,Cash,15%,23.097,6.1,59.6545225,30.32843088,438.843,2489.13135
91,Mumbai,Urban Essentials Superstore,Female,Home and lifestyle,47.38,4,189.52,26-04-2020,Cash,15%,9.476,7.1,78.49632688,29.63128618,180.044,530.73939
92,Delhi,Krishi Kendra Grocers,Female,Sports and travel,44.86,10,448.6,21-11-2022,Ewallet,15%,22.43,8.2,17.31064241,29.06493986,426.17,2360.39862
93,Bangalore,SpiceRoots Grocery House,Female,Sports and travel,21.98,7,153.86,29-02-2020,Ewallet,15%,7.693,5.1,59.33713414,4.77976408,146.167,378.75255
94,Kolkata,Farmers' Delight Emporium,Male,Health and beauty,64.36,9,579.24,26-06-2022,Credit card,15%,28.962,8.6,13.68178668,42.56797013,550.278,3766.67029
95,Chennai,Shree Ganesh Provisions,Male,Health and beauty,89.75,1,89.75,10-01-2022,Credit card,15%,4.4875,6.6,74.01829469,26.29157244,85.2625,166.27309
96,Ahemdabad,HealthyHub Grocery ,Male,Electronic accessories,97.16,1,97.16,19-05-2020,Ewallet,15%,4.858,7.2,53.07519041,3.971975869,92.302,186.84062
97,Hyderabad,Bharat Bazaar,Male,Health and beauty,87.87,10,878.7,21-09-2021,Ewallet,15%,43.935,5.1,20.02377156,14.11382292,834.765,8213.78006
98,Kanpur,Sapna Supermarket,Female,Electronic accessories,12.45,6,74.7,18-11-2022,Cash,15%,3.735,4.1,12.7447361,42.26651855,70.965,127.71086
99,Surat,FreshBasket Grocery Store,Male,Food and beverages,52.75,3,158.25,13-08-2020,Ewallet,15%,7.9125,9.3,11.26129076,1.624985528,150.3375,396.15909
100,Pune,Sundar Sweets and Groceries,Male,Home and lifestyle,82.7,6,496.2,01-11-2021,Cash,15%,24.81,7.4,27.946796,40.35051823,471.39,2835.23718
101,Mumbai,Green Mart Groceries,Male,Fashion accessories,48.71,1,48.71,12-08-2020,Cash,15%,2.4355,4.1,45.25755891,0.571840415,46.2745,71.25031
102,Delhi,Indian Spice Bazaar,Male,Fashion accessories,78.55,9,706.95,14-01-2022,Cash,15%,35.3475,7.2,5.19912296,0.099515137,671.6025,5454.84387
103,Bangalore,EcoFresh Grocery Haven,Female,Electronic accessories,23.07,9,207.63,01-05-2021,Cash,15%,10.3815,4.9,2.282276286,34.6679564,197.2485,617.17706
104,Kolkata,Golden Harvest Provisions,Male,Food and beverages,58.26,6,349.56,26-09-2021,Cash,15%,17.478,9.9,86.54777052,48.27239615,332.082,1510.38584
105,Chennai,Sarvodaya Supermart,Male,Health and beauty,30.35,7,212.45,22-02-2020,Cash,15%,10.6225,8,9.046113616,6.33980802,201.8275,641.23252
106,Ahemdabad,Nirvana Grocer's Paradise,Male,Electronic accessories,88.67,10,886.7,06-03-2022,Ewallet,15%,44.335,7.3,16.48231745,47.9305056,842.365,8355.95046
107,Hyderabad,TastyBite Provision Store,Male,Fashion accessories,27.38,6,164.28,06-08-2022,Credit card,15%,8.214,7.9,17.51129035,40.03509619,156.066,420.66522
108,Kanpur,Nature's Bounty Mart,Male,Sports and travel,62.13,6,372.78,06-07-2022,Cash,15%,18.639,7.4,43.25534136,14.0278692,354.141,1692.94682
109,Surat,MangoTree Grocery Express,Female,Food and beverages,33.98,9,305.82,18-05-2020,Cash,15%,15.291,4.2,98.98987377,36.71556137,290.529,1194.31579
110,Pune,Deshi Dukan Groceries,Male,Electronic accessories,81.97,10,819.7,19-10-2020,Cash,15%,40.985,9.2,15.46769267,41.79548024,778.715,7202.82686
111,Mumbai,Urban Essentials Superstore,Female,Sports and travel,16.49,2,32.98,02-01-2022,Ewallet,15%,1.649,4.6,72.7517492,34.470856,31.331,43.31296
112,Delhi,Krishi Kendra Grocers,Female,Health and beauty,98.21,3,294.63,22-08-2020,Credit card,15%,14.7315,7.8,72.7563966,48.12743673,279.8985,1119.29495
113,Bangalore,SpiceRoots Grocery House,Female,Fashion accessories,72.84,7,509.88,06-01-2020,Cash,15%,25.494,8.4,90.12085822,34.74143763,484.386,2979.66734
114,Kolkata,Farmers' Delight Emporium,Male,Home and lifestyle,58.07,9,522.63,23-11-2021,Ewallet,15%,26.1315,4.3,48.28434714,5.912587341,496.4985,3117.48011
115,Chennai,Shree Ganesh Provisions,Female,Home and lifestyle,80.79,9,727.11,03-09-2022,Credit card,15%,36.3555,9.5,28.26078695,45.01116161,690.7545,5749.65505
116,Ahemdabad,HealthyHub Grocery ,Female,Fashion accessories,27.02,3,81.06,08-11-2020,Credit card,15%,4.053,7.1,53.11530969,35.40873525,77.007,143.48187
117,Hyderabad,Bharat Bazaar,Male,Fashion accessories,21.94,5,109.7,19-11-2020,Ewallet,15%,5.485,5.3,5.11189331,37.33348525,104.215,224.02386
118,Kanpur,Sapna Supermarket,Male,Fashion accessories,51.36,1,51.36,04-08-2021,Ewallet,15%,2.568,5.2,50.30240722,46.54921713,48.792,76.41957
119,Surat,FreshBasket Grocery Store,Female,Food and beverages,10.96,10,109.6,18-06-2021,Ewallet,15%,5.48,6,27.41670895,32.87236335,104.12,223.71552
120,Pune,Sundar Sweets and Groceries,Male,Home and lifestyle,53.44,2,106.88,06-02-2020,Ewallet,15%,5.344,4.1,12.67573961,39.28143725,101.536,215.40168
121,Mumbai,Green Mart Groceries,Female,Electronic accessories,99.56,8,796.48,25-07-2020,Credit card,15%,39.824,5.2,70.9081269,22.30308525,756.656,6823.09371
122,Delhi,Indian Spice Bazaar,Male,Sports and travel,57.12,7,399.84,30-10-2021,Credit card,15%,19.992,6.5,10.93274808,16.11371242,379.848,1918.62424
123,Bangalore,EcoFresh Grocery Haven,Male,Sports and travel,99.96,9,899.64,11-09-2020,Credit card,15%,44.982,4.2,69.72537884,20.49592783,854.658,8588.48523
124,Kolkata,Golden Harvest Provisions,Male,Home and lifestyle,63.91,8,511.28,05-05-2020,Credit card,15%,25.564,4.6,16.27169171,11.26325262,485.716,2994.64877
125,Chennai,Sarvodaya Supermart,Female,Fashion accessories,56.47,8,451.76,30-01-2020,Ewallet,15%,22.588,7.3,23.75202423,34.96423818,429.172,2390.58743
126,Ahemdabad,Nirvana Grocer's Paradise,Female,Home and lifestyle,93.69,7,655.83,31-03-2021,Credit card,15%,32.7915,4.5,52.74279746,27.01916331,623.0385,4741.90340
127,Hyderabad,TastyBite Provision Store,Female,Sports and travel,32.25,5,161.25,07-04-2022,Cash,15%,8.0625,9,83.12257923,23.40661546,153.1875,408.26484
128,Kanpur,Nature's Bounty Mart,Female,Fashion accessories,31.73,9,285.57,31-10-2021,Credit card,15%,14.2785,5.9,77.44554852,16.8597866,271.2915,1060.29714
129,Surat,MangoTree Grocery Express,Female,Food and beverages,68.54,8,548.32,24-05-2020,Ewallet,15%,27.416,8.5,89.60907954,20.76681044,520.904,3404.54081
130,Pune,Deshi Dukan Groceries,Female,Sports and travel,90.28,9,812.52,28-08-2021,Ewallet,15%,40.626,7.2,22.64486314,31.25479138,771.894,7084.31313
131,Mumbai,Urban Essentials Superstore,Female,Fashion accessories,39.62,7,277.34,29-12-2020,Cash,15%,13.867,7.5,47.57106353,28.00574132,263.473,1008.05602
132,Delhi,Krishi Kendra Grocers,Female,Sports and travel,92.13,6,552.78,09-07-2021,Cash,15%,27.639,8.3,84.83932258,20.54135077,525.141,3455.65442
133,Bangalore,SpiceRoots Grocery House,Female,Sports and travel,34.84,4,139.36,23-05-2020,Cash,15%,6.968,7.4,20.30725078,0.16230473,132.392,323.86149
134,Kolkata,Farmers' Delight Emporium,Male,Electronic accessories,87.45,6,524.7,18-02-2021,Credit card,15%,26.235,8.8,55.79371358,48.09015338,498.465,3140.14586
135,Chennai,Shree Ganesh Provisions,Female,Health and beauty,81.3,6,487.8,12-02-2020,Ewallet,15%,24.39,5.3,17.27544327,31.13713789,463.41,2748.31398
136,Ahemdabad,HealthyHub Grocery ,Male,Fashion accessories,90.22,3,270.66,27-10-2021,Cash,15%,13.533,6.2,0.887859177,8.600050889,257.127,966.59994
137,Hyderabad,Bharat Bazaar,Female,Electronic accessories,26.31,5,131.55,10-04-2021,Credit card,15%,6.5775,8.8,0.118565887,1.028680466,124.9725,295.95132
138,Kanpur,Sapna Supermarket,Female,Home and lifestyle,34.42,6,206.52,02-11-2022,Cash,15%,10.326,9.8,11.44817399,22.56628774,196.194,611.69985
139,Surat,FreshBasket Grocery Store,Male,Sports and travel,51.91,10,519.1,08-02-2022,Cash,15%,25.955,8.2,47.34072429,22.80487965,493.145,3079.01570
140,Pune,Sundar Sweets and Groceries,Male,Sports and travel,72.5,8,580,11-06-2020,Ewallet,15%,29,9.2,56.28980683,39.37551435,551,3775.80000
141,Mumbai,Green Mart Groceries,Female,Sports and travel,89.8,10,898,28-11-2020,Credit card,15%,44.9,5.4,44.70542384,21.20906184,853.1,8558.83800
142,Delhi,Indian Spice Bazaar,Male,Health and beauty,90.5,10,905,05-09-2020,Cash,15%,45.25,8.1,79.34918783,11.57349961,859.75,8685.73750
143,Bangalore,EcoFresh Grocery Haven,Female,Health and beauty,68.6,10,686,01-09-2022,Cash,15%,34.3,9.1,41.03852648,7.480640237,651.7,5156.66200
144,Kolkata,Golden Harvest Provisions,Female,Food and beverages,30.41,1,30.41,17-11-2022,Credit card,15%,1.5205,8.4,14.69764321,8.928196876,28.8895,39.19530
145,Chennai,Sarvodaya Supermart,Female,Home and lifestyle,77.95,6,467.7,26-04-2020,Ewallet,15%,23.385,8,28.06148541,47.42781511,444.315,2545.76126
146,Ahemdabad,Nirvana Grocer's Paradise,Female,Health and beauty,46.26,6,277.56,03-10-2021,Credit card,15%,13.878,9.5,12.87782565,14.38531954,263.682,1009.43576
147,Hyderabad,TastyBite Provision Store,Female,Fashion accessories,30.14,10,301.4,25-12-2020,Ewallet,15%,15.07,9.2,40.92027959,28.56659994,286.33,1164.39862
148,Kanpur,Nature's Bounty Mart,Male,Health and beauty,66.14,4,264.56,16-03-2021,Credit card,15%,13.228,5.6,21.56909483,0.259164182,251.332,929.48394
149,Surat,MangoTree Grocery Express,Male,Home and lifestyle,71.86,8,574.88,17-03-2022,Credit card,15%,28.744,6.2,37.39571927,3.726499492,546.136,3714.50664
150,Pune,Deshi Dukan Groceries,Male,Health and beauty,32.46,8,259.68,27-09-2020,Credit card,15%,12.984,4.9,55.25951198,45.24771984,246.696,900.30017
151,Mumbai,Urban Essentials Superstore,Female,Fashion accessories,91.54,4,366.16,07-04-2022,Credit card,15%,18.308,4.8,71.93679834,13.56199745,347.852,1639.85488
152,Delhi,Krishi Kendra Grocers,Male,Sports and travel,34.56,7,241.92,30-07-2022,Credit card,15%,12.096,7.3,80.11379085,29.23114813,229.824,797.91022
153,Bangalore,SpiceRoots Grocery House,Male,Fashion accessories,83.24,9,749.16,07-06-2022,Credit card,15%,37.458,7.4,98.45266148,46.43183322,711.702,6080.94670
154,Kolkata,Farmers' Delight Emporium,Female,Food and beverages,16.48,6,98.88,13-04-2021,Ewallet,15%,4.944,9.9,7.963891762,0.11419929,93.936,191.76392
155,Chennai,Shree Ganesh Provisions,Female,Sports and travel,80.97,8,647.76,31-01-2020,Cash,15%,32.388,9.3,55.3636437,3.545235904,615.372,4633.89367
156,Ahemdabad,HealthyHub Grocery ,Male,Food and beverages,92.29,5,461.45,29-11-2022,Credit card,15%,23.0725,9,60.84066561,32.91627496,438.3775,2484.34297
157,Hyderabad,Bharat Bazaar,Male,Electronic accessories,72.17,1,72.17,24-09-2020,Cash,15%,3.6085,6.1,14.19128896,39.41305726,68.5615,121.65083
158,Kanpur,Sapna Supermarket,Male,Home and lifestyle,50.28,5,251.4,22-06-2021,Ewallet,15%,12.57,9.7,78.61139946,30.2761263,238.83,851.81862
159,Surat,FreshBasket Grocery Store,Male,Health and beauty,97.22,9,874.98,27-07-2020,Ewallet,15%,43.749,6,58.63289731,17.32810012,831.231,8148.08500
160,Pune,Sundar Sweets and Groceries,Male,Sports and travel,93.39,6,560.34,13-08-2021,Ewallet,15%,28.17,10,86.92898474,18.06024036,532.17,3542.30138
161,Mumbai,Green Mart Groceries,Female,Food and beverages,43.18,8,345.44,10-09-2022,Credit card,15%,17.272,8.3,97.17970182,5.845980302,328.168,1479.06354
162,Delhi,Indian Spice Bazaar,Male,Sports and travel,63.69,1,63.69,24-06-2022,Cash,15%,3.1845,6,11.16751693,14.08479683,60.5055,102.22595
